City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,arar,30.9753,41.0381,1.01,29,0,2.57,SA,1734307618
1,puerto san jose,13.9256,-90.8244,29.03,74,0,0.0,GT,1734307619
2,avarua,-21.2078,-159.775,27.03,83,39,4.63,CK,1734307620
3,port-aux-francais,-49.35,70.2167,4.83,79,17,12.9,TF,1734307622
4,edd,13.9297,41.6925,25.96,59,2,7.05,ER,1734307623
5,cabedelo,-6.9811,-34.8339,27.37,81,17,4.85,BR,1734307624
6,enewetak,11.3474,162.3373,27.68,81,17,10.05,MH,1734307625
7,neumarkt-sankt veit,48.3667,12.5,4.41,79,100,7.09,DE,1734307626
8,college,64.8569,-147.8028,-32.01,69,20,2.06,US,1734307630
9,talnakh,69.4865,88.3972,-6.17,92,100,10.68,RU,1734307631
10,whitehorse,60.7161,-135.0538,-14.95,99,100,1.17,CA,1734307633
11,puerto natales,-51.7236,-72.4875,10.63,90,100,1.76,CL,1734307634
12,nelson bay,-32.7167,152.15,23.91,82,7,5.57,AU,1734307635
13,gadzhiyevo,69.2551,33.3362,-17.7,100,95,5.82,RU,1734307636
14,st. john's,47.5649,-52.7093,-1.58,74,20,6.69,CA,1734307521
15,saipan,15.1355,145.701,31.39,74,100,7.2,MP,1734307638
16,adamstown,-25.066,-130.1015,22.75,67,68,4.28,PN,1734307641
17,anadyr,64.75,177.4833,-4.72,85,75,12.96,RU,1734307642
18,tiksi,71.6872,128.8694,-21.94,96,98,3.95,RU,1734307643
19,nar'yan-mar,67.6713,53.087,-18.25,92,67,4.45,RU,1734307644
20,grytviken,-54.2811,-36.5092,5.54,71,77,1.85,GS,1734307645
21,nyala,12.05,24.8833,17.08,25,71,7.41,SD,1734307646
22,quellon,-43.1167,-73.6167,14.06,80,71,3.88,CL,1734307648
23,ilulissat,69.2167,-51.1,-7.99,79,100,6.69,GL,1734307649
24,jamestown,42.097,-79.2353,1.68,96,100,5.66,US,1734307650
25,puerto ayora,-0.7393,-90.3518,22.46,85,99,3.73,EC,1734307651
26,kitimat,54.0524,-128.6534,0.51,33,28,0.75,CA,1734307652
27,ushuaia,-54.8,-68.3,7.18,72,27,1.59,AR,1734307653
28,saraktash,51.7866,51.7866,-4.93,72,100,8.28,RU,1734307655
29,calama,-22.4667,-68.9333,19.27,27,0,8.75,CL,1734307610
30,papatowai,-46.5619,169.4708,10.86,71,100,4.78,NZ,1734307657
31,nuuk,64.1835,-51.7216,-5.66,86,100,2.24,GL,1734307658
32,weno,7.4515,151.8468,28.34,80,10,9.58,FM,1734307659
33,carutapera,-1.195,-46.02,26.01,81,66,3.57,BR,1734307660
34,waitangi,-43.9535,-176.5597,15.47,89,100,5.03,NZ,1734307661
35,fale old settlement,-9.3852,-171.2468,27.78,77,32,6.08,TK,1734307662
36,badger,64.8,-147.5333,-32.05,74,0,2.06,US,1734307663
37,linghai,41.1653,121.3667,-4.13,46,23,1.96,CN,1734307665
38,eurajoki,61.2,21.7333,-3.99,97,100,7.58,FI,1734307666
39,uturoa,-16.7333,-151.4333,26.41,81,82,3.74,PF,1734307667
40,arraial do cabo,-22.9661,-42.0278,24.85,83,97,8.84,BR,1734307668
41,kaka,37.3482,59.6143,-8.95,67,1,2.34,TM,1734307669
42,isafjordur,66.0755,-23.124,-7.04,89,92,3.85,IS,1734307670
43,baiyin,36.5583,104.2081,-11.19,82,38,1.98,CN,1734307671
44,nadi,-17.8,177.4167,31.64,53,91,2.76,FJ,1734307673
45,wailua homesteads,22.0669,-159.378,25.44,84,75,6.69,US,1734307674
46,kapa'a,22.0752,-159.319,26.18,84,75,6.69,US,1734307675
47,hamilton,39.1834,-84.5333,10.77,94,100,1.54,US,1734307490
48,severo-yeniseyskiy,60.3725,93.0408,-6.97,83,100,2.43,RU,1734307677
49,lihue,21.9789,-159.3672,25.77,83,75,6.69,US,1734307678
50,constantia,44.1833,28.65,1.5,72,57,5.87,RO,1734307679
51,breves,-1.6822,-50.4803,26.67,75,100,2.6,BR,1734307682
52,yellowknife,62.456,-114.3525,-26.71,76,75,3.09,CA,1734307442
53,warah,27.4481,67.7978,13.88,16,0,2.32,PK,1734307684
54,qaqortoq,60.7167,-46.0333,-13.29,88,46,3.39,GL,1734307685
55,praia,14.9215,-23.5087,24.52,76,100,4.8,CV,1734307687
56,novokruchininskiy,51.7833,113.7667,-27.05,100,40,1.46,RU,1734307690
57,colares,38.7992,-9.4469,10.18,67,0,4.63,PT,1734307691
58,kingston,17.997,-76.7936,28.53,74,40,2.57,JM,1734307597
59,bilibino,68.0546,166.4372,-20.85,96,93,1.93,RU,1734307693
60,pakxan,18.3778,103.6601,12.81,68,15,1.53,LA,1734307694
61,mersa matruh,31.3525,27.2453,15.42,58,58,2.55,EG,1734307695
62,nagqu,31.5,92.0,-8.97,33,22,1.11,CN,1734307697
63,nemuro,43.3236,145.575,-2.94,64,2,8.44,JP,1734307698
64,rakvere,59.3464,26.3558,-5.08,92,100,4.01,EE,1734307699
65,clewiston,26.7542,-80.9337,20.0,77,14,6.87,US,1734307700
66,ribeira grande,38.5167,-28.7,17.65,90,87,4.02,PT,1734307701
67,kavaratti,10.5669,72.642,26.83,77,23,2.12,IN,1734307702
68,blackmans bay,-43.0167,147.3167,21.07,62,52,1.79,AU,1734307703
69,hawaiian paradise park,19.5933,-154.9731,26.73,70,0,5.14,US,1734307704
70,mount gambier,-37.8333,140.7667,38.69,13,28,7.41,AU,1734307569
71,lukolela,-1.0605,17.1821,22.62,93,99,0.9,CD,1734307707
72,bethel,41.3712,-73.414,1.45,72,100,3.09,US,1734307708
73,kruisfontein,-34.0033,24.7314,14.42,81,89,3.28,ZA,1734307709
74,ciudad lazaro cardenas,17.9583,-102.2,27.35,71,26,3.5,MX,1734307710
75,labrador city,52.9463,-66.9114,-9.34,61,88,6.26,CA,1734307711
76,longyearbyen,78.2186,15.6401,-7.09,68,40,12.35,SJ,1734307712
77,lebu,-37.6167,-73.65,13.66,93,1,5.26,CL,1734307713
78,fiambala,-27.6871,-67.6149,23.48,32,0,4.8,AR,1734307715
79,aketi,2.7388,23.7833,22.65,73,69,0.85,CD,1734307716
80,port hueneme,34.1478,-119.1951,17.37,57,0,4.63,US,1734307717
